==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651680   -6.87111    -55.53049    -0.09     -0.03     0.10     1 
2270651688   -6.87036    -55.30249    -0.08     -0.14     0.16     1 
2270651698   -6.86927    -55.01752     0.10      0.02     0.10     1 
2270651699   -6.86915    -54.98903    -0.06     -0.12     0.13     1 
2270651700   -6.86902    -54.96053     0.05      0.00     0.05     1 
2270651701   -6.86890    -54.93204     0.01      0.01     0.01     1 
2270651702   -6.86878    -54.90355    -0.02     -0.05     0.06     1 
2270651703   -6.86865    -54.87506    -0.02      0.01     0.02     1 
2270651704   -6.86853    -54.84656    -0.00      0.02     0.02     1 
2270651705   -6.86840    -54.81807    -0.01      0.01     0.02     1 
2270651706   -6.86827    -54.78958     0.02      0.04     0.04     1 
2270651707   -6.86813    -54.76109     0.05      0.01     0.05     1 
2270651715   -6.86702    -54.53319     0.04      0.05     0.07     1 
2270651718   -6.86657    -54.44774     0.09      0.03     0.09     1 
2270651719   -6.86642    -54.41926    -0.05      0.03     0.06     1 
2270651720   -6.86626    -54.39078    -0.05     -0.01     0.06     1 
2270651748   -6.89664    -55.72995     0.09     -0.05     0.10     1 
2270651749   -6.89657    -55.70145     0.03     -0.01     0.04     1 
2270651750   -6.89649    -55.67294    -0.01      0.00     0.01     1 
2270651751   -6.89641    -55.64444     0.08      0.04     0.09     1 
2270651752   -6.89633    -55.61593     0.05      0.02     0.06     1 
2270651755   -6.89607    -55.53042    -0.02     -0.06     0.06     1 
2270651758   -6.89580    -55.44491     0.11     -0.07     0.13     1 
2270651761   -6.89551    -55.35940    -0.03      0.04     0.05     1 
2270651773   -6.89422    -55.01742     0.04      0.00     0.04     1 
2270651775   -6.89398    -54.96043     0.00     -0.07     0.07     1 
2270651776   -6.89385    -54.93193     0.00     -0.06     0.06     1 
2270651777   -6.89373    -54.90344    -0.00     -0.06     0.06     1 
2270651778   -6.89360    -54.87494     0.00     -0.04     0.04     1 
2270651779   -6.89348    -54.84645     0.00     -0.00     0.00     1 
2270651780   -6.89335    -54.81796    -0.06      0.02     0.07     1 
2270651781   -6.89322    -54.78947     0.04      0.01     0.04     1 
2270651782   -6.89308    -54.76098    -0.00     -0.01     0.01     1 
2270651783   -6.89295    -54.73248     0.02      0.02     0.03     1 
2270651784   -6.89281    -54.70399    -0.00      0.02     0.02     1 
2270651787   -6.89239    -54.61853     0.05      0.03     0.06     1 
2270651788   -6.89225    -54.59004    -0.02     -0.01     0.02     1 
2270651791   -6.89181    -54.50458    -0.01     -0.00     0.01     1 
